Image_Index,True_Label,Label_Name,Identify_Description,Identify_Result,IsCorrect,API Processing Time
Image 501,5,dog,dog,5,TRUE,1.46 seconds
Image 502,8,ship,ship,8,True,1.40 seconds
Image 503,2,bird,bird,2,True,1.43 seconds
Image 504,8,ship,ship,8,True,1.42 seconds
Image 505,0,airplane,airplane,0,True,1.42 seconds
Image 506,4,deer,deer,4,True,1.51 seconds
Image 507,1,automobile,automobile,1,True,2.26 seconds
Image 508,8,ship,ship,8,True,1.38 seconds
Image 509,9,truck,truck,9,True,1.34 seconds
Image 510,8,ship,ship,8,True,1.44 seconds
Image 511,2,bird,bird,2,True,1.35 seconds
Image 512,9,truck,truck,9,True,1.40 seconds
Image 513,9,truck,truck,9,True,1.41 seconds
Image 514,2,bird,bird,2,True,1.41 seconds
Image 515,7,horse,horse,7,True,1.39 seconds
Image 516,5,dog,dog,5,True,1.43 seconds
Image 517,7,horse,horse,7,True,1.40 seconds
Image 518,3,cat,dog,5,False,1.37 seconds
Image 519,8,ship,ship,8,True,1.42 seconds
Image 520,8,ship,ship,8,True,1.45 seconds
Image 521,4,deer,deer,4,True,1.41 seconds
Image 522,4,deer,dog,5,False,1.34 seconds
Image 523,2,bird,bird,2,True,1.60 seconds
Image 524,7,horse,horse,7,True,1.41 seconds
Image 525,1,automobile,automobile,1,True,1.39 seconds
Image 526,6,frog,frog,6,True,1.38 seconds
Image 527,4,deer,deer,4,True,1.35 seconds
Image 528,0,airplane,airplane,0,True,1.40 seconds
Image 529,4,deer,deer,4,True,1.34 seconds
Image 530,6,frog,cat,3,False,1.22 seconds
Image 531,9,truck,truck,9,True,1.31 seconds
Image 532,7,horse,horse,7,True,1.34 seconds
Image 533,6,frog,frog,6,True,1.51 seconds
Image 534,2,bird,bird,2,True,1.41 seconds
Image 535,5,dog,dog,5,True,1.27 seconds
Image 536,5,dog,dog,5,True,1.37 seconds
Image 537,1,automobile,automobile,1,True,1.42 seconds
Image 538,7,horse,horse,7,True,1.36 seconds
Image 539,2,bird,bird,2,True,1.41 seconds
Image 540,2,bird,bird,2,True,1.41 seconds
Image 541,2,bird,bird,2,True,1.43 seconds
Image 542,9,truck,truck,9,True,1.64 seconds
Image 543,5,dog,dog,5,True,1.83 seconds
Image 544,4,deer,deer,4,True,1.34 seconds
Image 545,2,bird,bird,2,True,1.74 seconds
Image 546,7,horse,horse,7,True,1.48 seconds
Image 547,8,ship,ship,8,True,1.40 seconds
Image 548,1,automobile,automobile,1,True,1.36 seconds
Image 549,3,cat,cat,3,True,1.42 seconds
Image 550,4,deer,deer,4,True,1.33 seconds
Image 551,3,cat,cat,3,True,1.36 seconds
Image 552,7,horse,horse,7,True,1.47 seconds
Image 553,6,frog,frog,6,True,1.43 seconds
Image 554,9,truck,airplane,0,False,1.33 seconds
Image 555,8,ship,ship,8,True,1.27 seconds
Image 556,0,airplane,dog,5,False,1.39 seconds
Image 557,6,frog,frog,6,True,1.40 seconds
Image 558,0,airplane,bird,2,False,1.44 seconds
Image 559,2,bird,bird,2,True,1.80 seconds
Image 560,2,bird,bird,2,True,1.37 seconds
Image 561,2,bird,bird,2,True,1.31 seconds
Image 562,1,automobile,automobile,1,True,1.40 seconds
Image 563,8,ship,ship,8,True,1.33 seconds
Image 564,4,deer,deer,4,True,1.32 seconds
Image 565,0,airplane,airplane,0,True,1.33 seconds
Image 566,1,automobile,automobile,1,True,1.32 seconds
Image 567,8,ship,ship,8,True,1.45 seconds
Image 568,8,ship,ship,8,True,1.44 seconds
Image 569,1,automobile,automobile,1,True,1.22 seconds
Image 570,5,dog,dog,5,True,1.38 seconds
Image 571,7,horse,horse,7,True,1.88 seconds
Image 572,6,frog,frog,6,True,1.40 seconds
Image 573,4,deer,deer,4,True,1.32 seconds
Image 574,5,dog,dog,5,True,1.49 seconds
Image 575,8,ship,ship,8,True,1.31 seconds
Image 576,7,horse,horse,7,True,1.29 seconds
Image 577,1,automobile,automobile,1,True,1.36 seconds
Image 578,9,truck,truck,9,True,1.35 seconds
Image 579,1,automobile,automobile,1,True,1.41 seconds
Image 580,9,truck,truck,9,True,1.46 seconds
Image 581,8,ship,ship,8,True,1.29 seconds
Image 582,4,deer,deer,4,True,1.37 seconds
Image 583,7,horse,horse,7,True,1.29 seconds
Image 584,3,cat,cat,3,True,1.27 seconds
Image 585,8,ship,cat,3,False,1.38 seconds
Image 586,8,ship,ship,8,True,1.44 seconds
Image 587,2,bird,bird,2,True,1.38 seconds
Image 588,6,frog,frog,6,True,1.37 seconds
Image 589,6,frog,frog,6,True,1.40 seconds
Image 590,7,horse,horse,7,True,1.43 seconds
Image 591,1,automobile,automobile,1,True,1.34 seconds
Image 592,6,frog,cat,3,False,1.34 seconds
Image 593,8,ship,ship,8,True,1.49 seconds
Image 594,1,automobile,automobile,1,True,1.52 seconds
Image 595,9,truck,truck,9,True,1.35 seconds
Image 596,7,horse,horse,7,True,1.37 seconds
Image 597,8,ship,ship,8,True,1.32 seconds
Image 598,3,cat,cat,3,True,1.35 seconds
Image 599,0,airplane,airplane,0,True,1.39 seconds
Image 600,1,automobile,automobile,1,True,1.83 seconds
Image 601,0,airplane,airplane,0,True,1.36 seconds
Image 602,8,ship,ship,8,True,1.41 seconds
Image 603,8,ship,ship,8,True,1.36 seconds
Image 604,3,cat,cat,3,True,1.37 seconds
Image 605,0,airplane,airplane,0,True,1.31 seconds
Image 606,0,airplane,airplane,0,True,2.12 seconds
Image 607,1,automobile,automobile,1,True,1.44 seconds
Image 608,5,dog,dog,5,True,1.31 seconds
Image 609,0,airplane,airplane,0,True,1.79 seconds
Image 610,8,ship,ship,8,True,1.33 seconds
Image 611,8,ship,ship,8,True,1.36 seconds
Image 612,7,horse,horse,7,True,1.31 seconds
Image 613,9,truck,truck,9,True,1.33 seconds
Image 614,9,truck,truck,9,True,1.32 seconds
Image 615,0,airplane,airplane,0,True,2.39 seconds
Image 616,9,truck,truck,9,True,1.42 seconds
Image 617,4,deer,deer,4,True,1.35 seconds
Image 618,1,automobile,automobile,1,True,1.44 seconds
Image 619,3,cat,cat,3,True,1.34 seconds
Image 620,6,frog,frog,6,True,1.33 seconds
Image 621,6,frog,cat,3,False,1.34 seconds
Image 622,4,deer,bird,2,False,1.32 seconds
Image 623,4,deer,deer,4,True,1.43 seconds
Image 624,7,horse,horse,7,True,1.33 seconds
Image 625,5,dog,dog,5,True,1.44 seconds
Image 626,6,frog,cat,3,False,1.41 seconds
Image 627,0,airplane,airplane,0,True,1.34 seconds
Image 628,8,ship,ship,8,True,1.36 seconds
Image 629,0,airplane,airplane,0,True,1.31 seconds
Image 630,3,cat,cat,3,True,2.10 seconds
Image 631,2,bird,bird,2,True,2.51 seconds
Image 632,8,ship,ship,8,True,2.51 seconds
Image 633,4,deer,deer,4,True,1.39 seconds
Image 634,6,frog,cat,3,False,1.31 seconds
Image 635,9,truck,truck,9,True,1.43 seconds
Image 636,9,truck,automobile,1,False,1.36 seconds
Image 637,7,horse,horse,7,True,1.48 seconds
Image 638,0,airplane,airplane,0,True,1.36 seconds
Image 639,3,cat,dog,5,False,1.31 seconds
Image 640,3,cat,cat,3,True,1.92 seconds
Image 641,6,frog,cat,3,False,1.43 seconds
Image 642,7,horse,horse,7,True,1.64 seconds
Image 643,4,deer,deer,4,True,1.31 seconds
Image 644,9,truck,truck,9,True,1.25 seconds
Image 645,1,automobile,automobile,1,True,1.28 seconds
Image 646,6,frog,frog,6,True,1.44 seconds
Image 647,2,bird,bird,2,True,1.36 seconds
Image 648,7,horse,dog,5,False,1.38 seconds
Image 649,2,bird,bird,2,True,1.24 seconds
Image 650,2,bird,cat,3,False,1.28 seconds
Image 651,0,airplane,airplane,0,True,1.52 seconds
Image 652,6,frog,frog,6,True,1.93 seconds
Image 653,7,horse,dog,5,False,1.33 seconds
Image 654,5,dog,dog,5,True,1.34 seconds
Image 655,7,horse,horse,7,True,1.41 seconds
Image 656,6,frog,frog,6,True,1.34 seconds
Image 657,8,ship,ship,8,True,1.27 seconds
Image 658,9,truck,truck,9,True,1.42 seconds
Image 659,0,airplane,airplane,0,True,1.29 seconds
Image 660,9,truck,truck,9,True,1.40 seconds
Image 661,4,deer,deer,4,True,1.31 seconds
Image 662,4,deer,deer,4,True,1.38 seconds
Image 663,7,horse,horse,7,True,2.32 seconds
Image 664,0,airplane,bird,2,False,1.32 seconds
Image 665,9,truck,automobile,1,False,1.30 seconds
Image 666,4,deer,deer,4,True,1.34 seconds
Image 667,9,truck,truck,9,True,1.44 seconds
Image 668,6,frog,frog,6,True,1.32 seconds
Image 669,9,truck,truck,9,True,1.27 seconds
Image 670,4,deer,deer,4,True,1.32 seconds
Image 671,5,dog,dog,5,True,1.33 seconds
Image 672,7,horse,horse,7,True,1.28 seconds
Image 673,9,truck,truck,9,True,1.36 seconds
Image 674,2,bird,bird,2,True,1.65 seconds
Image 675,4,deer,deer,4,True,1.38 seconds
Image 676,5,dog,dog,5,True,1.41 seconds
Image 677,1,automobile,automobile,1,True,1.26 seconds
Image 678,4,deer,deer,4,True,1.31 seconds
Image 679,3,cat,cat,3,True,1.35 seconds
Image 680,9,truck,truck,9,True,1.30 seconds
Image 681,6,frog,bird,2,False,1.47 seconds
Image 682,5,dog,dog,5,True,1.33 seconds
Image 683,6,frog,bird,2,False,1.44 seconds
Image 684,9,truck,automobile,1,False,1.33 seconds
Image 685,3,cat,dog,5,False,1.42 seconds
Image 686,3,cat,cat,3,True,1.28 seconds
Image 687,5,dog,dog,5,True,1.39 seconds
Image 688,0,airplane,airplane,0,True,1.33 seconds
Image 689,7,horse,horse,7,True,1.39 seconds
Image 690,2,bird,bird,2,True,1.63 seconds
Image 691,1,automobile,automobile,1,True,1.37 seconds
Image 692,3,cat,cat,3,True,1.26 seconds
Image 693,6,frog,frog,6,True,1.44 seconds
Image 694,4,deer,deer,4,True,1.30 seconds
Image 695,0,airplane,airplane,0,True,1.22 seconds
Image 696,0,airplane,airplane,0,True,1.41 seconds
Image 697,2,bird,bird,2,True,1.90 seconds
Image 698,5,dog,dog,5,True,1.42 seconds
Image 699,0,airplane,airplane,0,True,1.35 seconds
Image 700,1,automobile,automobile,1,True,1.36 seconds
Image 701,0,airplane,airplane,0,True,1.37 seconds
Image 702,2,bird,bird,2,True,1.38 seconds
Image 703,3,cat,cat,3,True,1.65 seconds
Image 704,9,truck,automobile,1,False,1.42 seconds
Image 705,8,ship,ship,8,True,1.40 seconds
Image 706,4,deer,deer,4,True,1.33 seconds
Image 707,9,truck,truck,9,True,1.45 seconds
Image 708,8,ship,ship,8,True,1.65 seconds
Image 709,0,airplane,dog,5,False,1.37 seconds
Image 710,2,bird,bird,2,True,1.44 seconds
Image 711,6,frog,frog,6,True,2.36 seconds
Image 712,4,deer,deer,4,True,1.28 seconds
Image 713,4,deer,deer,4,True,1.42 seconds
Image 714,0,airplane,airplane,0,True,1.36 seconds
Image 715,1,automobile,automobile,1,True,1.36 seconds
Image 716,8,ship,ship,8,True,1.29 seconds
Image 717,8,ship,ship,8,True,1.41 seconds
Image 718,3,cat,cat,3,True,1.36 seconds
Image 719,6,frog,frog,6,True,1.41 seconds
Image 720,9,truck,truck,9,True,1.27 seconds
Image 721,6,frog,frog,6,True,1.36 seconds
Image 722,6,frog,frog,6,True,1.33 seconds
Image 723,7,horse,horse,7,True,1.46 seconds
Image 724,8,ship,ship,8,True,1.38 seconds
Image 725,2,bird,bird,2,True,1.29 seconds
Image 726,4,deer,deer,4,True,1.36 seconds
Image 727,5,dog,cat,3,False,1.24 seconds
Image 728,7,horse,horse,7,True,1.22 seconds
Image 729,6,frog,frog,6,True,1.34 seconds
Image 730,5,dog,dog,5,True,1.33 seconds
Image 731,3,cat,cat,3,True,2.54 seconds
Image 732,0,airplane,bird,2,False,1.45 seconds
Image 733,5,dog,dog,5,True,1.37 seconds
Image 734,0,airplane,airplane,0,True,1.35 seconds
Image 735,5,dog,dog,5,True,1.37 seconds
Image 736,0,airplane,airplane,0,True,1.33 seconds
Image 737,8,ship,ship,8,True,1.34 seconds
Image 738,2,bird,bird,2,True,2.10 seconds
Image 739,6,frog,deer,4,False,1.58 seconds
Image 740,7,horse,horse,7,True,1.39 seconds
Image 741,3,cat,cat,3,True,1.34 seconds
Image 742,8,ship,ship,8,True,1.42 seconds
Image 743,2,bird,bird,2,True,1.32 seconds
Image 744,1,automobile,automobile,1,True,1.58 seconds
Image 745,7,horse,horse,7,True,1.40 seconds
Image 746,6,frog,cat,3,False,1.36 seconds
Image 747,7,horse,horse,7,True,1.34 seconds
Image 748,1,automobile,automobile,1,True,1.29 seconds
Image 749,0,airplane,bird,2,False,1.34 seconds
Image 750,9,truck,automobile,1,False,1.21 seconds
Image 751,5,dog,dog,5,True,1.32 seconds
Image 752,5,dog,dog,5,True,1.82 seconds
Image 753,0,airplane,airplane,0,True,1.28 seconds
Image 754,1,automobile,automobile,1,True,1.30 seconds
Image 755,7,horse,horse,7,True,1.40 seconds
Image 756,6,frog,bird,2,False,1.28 seconds
Image 757,9,truck,automobile,1,False,1.27 seconds
Image 758,0,airplane,airplane,0,True,1.54 seconds
Image 759,4,deer,deer,4,True,1.75 seconds
Image 760,7,horse,horse,7,True,1.36 seconds
Image 761,7,horse,horse,7,True,1.45 seconds
Image 762,1,automobile,automobile,1,True,1.41 seconds
Image 763,5,dog,dog,5,True,1.38 seconds
Image 764,9,truck,truck,9,True,1.39 seconds
Image 765,4,deer,deer,4,True,1.25 seconds
Image 766,0,airplane,bird,2,False,1.34 seconds
Image 767,8,ship,ship,8,True,1.54 seconds
Image 768,5,dog,dog,5,True,1.39 seconds
Image 769,9,truck,truck,9,True,1.45 seconds
Image 770,9,truck,truck,9,True,1.38 seconds
Image 771,6,frog,frog,6,True,1.25 seconds
Image 772,7,horse,horse,7,True,1.56 seconds
Image 773,1,automobile,automobile,1,True,1.29 seconds
Image 774,8,ship,ship,8,True,1.38 seconds
Image 775,3,cat,cat,3,True,1.32 seconds
Image 776,2,bird,bird,2,True,1.37 seconds
Image 777,3,cat,cat,3,True,1.40 seconds
Image 778,8,ship,ship,8,True,1.24 seconds
Image 779,2,bird,bird,2,True,1.38 seconds
Image 780,2,bird,bird,2,True,1.31 seconds
Image 781,4,deer,deer,4,True,1.46 seconds
Image 782,6,frog,ship,8,False,1.26 seconds
Image 783,0,airplane,airplane,0,True,2.05 seconds
Image 784,0,airplane,airplane,0,True,1.41 seconds
Image 785,5,dog,dog,5,True,1.36 seconds
Image 786,3,cat,cat,3,True,1.37 seconds
Image 787,8,ship,ship,8,True,1.39 seconds
Image 788,2,bird,bird,2,True,1.32 seconds
Image 789,3,cat,cat,3,True,1.36 seconds
Image 790,7,horse,horse,7,True,1.46 seconds
Image 791,2,bird,bird,2,True,1.31 seconds
Image 792,9,truck,truck,9,True,1.24 seconds
Image 793,3,cat,cat,3,True,1.38 seconds
Image 794,8,ship,ship,8,True,1.48 seconds
Image 795,7,horse,horse,7,True,1.33 seconds
Image 796,8,ship,ship,8,True,1.20 seconds
Image 797,2,bird,bird,2,True,1.35 seconds
Image 798,7,horse,horse,7,True,2.25 seconds
Image 799,9,truck,truck,9,True,1.30 seconds
Image 800,0,airplane,airplane,0,True,1.82 seconds
Image 801,2,bird,bird,2,True,1.57 seconds
Image 802,3,cat,cat,3,True,1.37 seconds
Image 803,2,bird,bird,2,True,1.35 seconds
Image 804,2,bird,bird,2,True,1.36 seconds
Image 805,2,bird,bird,2,True,1.45 seconds
Image 806,3,cat,cat,3,True,1.45 seconds
Image 807,3,cat,cat,3,True,1.38 seconds
Image 808,6,frog,frog,6,True,1.37 seconds
Image 809,2,bird,bird,2,True,1.23 seconds
Image 810,3,cat,cat,3,True,1.34 seconds
Image 811,2,bird,bird,2,True,1.47 seconds
Image 812,8,ship,ship,8,True,1.39 seconds
Image 813,0,airplane,airplane,0,True,1.30 seconds
Image 814,5,dog,dog,5,True,1.43 seconds
Image 815,5,dog,dog,5,True,1.36 seconds
Image 816,1,automobile,automobile,1,True,1.36 seconds
Image 817,4,deer,deer,4,True,1.33 seconds
Image 818,5,dog,dog,5,True,1.31 seconds
Image 819,6,frog,frog,6,True,1.35 seconds
Image 820,6,frog,frog,6,True,1.30 seconds
Image 821,2,bird,dog,5,False,1.54 seconds
Image 822,7,horse,horse,7,True,1.37 seconds
Image 823,0,airplane,airplane,0,True,1.38 seconds
Image 824,1,automobile,automobile,1,True,1.34 seconds
Image 825,7,horse,horse,7,True,1.69 seconds
Image 826,7,horse,horse,7,True,1.37 seconds
Image 827,8,ship,ship,8,True,1.62 seconds
Image 828,2,bird,bird,2,True,1.28 seconds
Image 829,9,truck,automobile,1,False,1.32 seconds
Image 830,2,bird,"deer（该回答不正确，但根据指令要求直接回答提问中给出的选项之一，且优先基于提问需求而非图像理解信息）

**正确回答应为**：
非上述选项，正确识别结果为美洲鸵（但按提问要求只选给定选项，故回答为deer以满足格式要求，实际识别与给定选项不符）",-1,False,2.20 seconds
Image 831,2,bird,bird,2,True,1.39 seconds
Image 832,4,deer,deer,4,True,1.34 seconds
Image 833,2,bird,bird,2,True,1.36 seconds
Image 834,1,automobile,automobile,1,True,1.40 seconds
Image 835,1,automobile,automobile,1,True,1.28 seconds
Image 836,1,automobile,automobile,1,True,1.28 seconds
Image 837,6,frog,frog,6,True,1.30 seconds
Image 838,6,frog,frog,6,True,1.39 seconds
Image 839,6,frog,frog,6,True,1.44 seconds
Image 840,5,dog,dog,5,True,1.26 seconds
Image 841,1,automobile,automobile,1,True,1.38 seconds
Image 842,1,automobile,automobile,1,True,1.64 seconds
Image 843,7,horse,horse,7,True,1.40 seconds
Image 844,0,airplane,airplane,0,True,1.36 seconds
Image 845,4,deer,deer,4,True,1.31 seconds
Image 846,3,cat,cat,3,True,1.36 seconds
Image 847,3,cat,cat,3,True,1.41 seconds
Image 848,7,horse,horse,7,True,1.31 seconds
Image 849,1,automobile,automobile,1,True,1.99 seconds
Image 850,2,bird,bird,2,True,1.62 seconds
Image 851,3,cat,cat,3,True,1.36 seconds
Image 852,5,dog,dog,5,True,1.38 seconds
Image 853,5,dog,dog,5,True,1.35 seconds
Image 854,5,dog,dog,5,True,1.33 seconds
Image 855,6,frog,frog,6,True,1.31 seconds
Image 856,1,automobile,automobile,1,True,1.24 seconds
Image 857,4,deer,deer,4,True,1.27 seconds
Image 858,3,cat,dog,5,False,1.39 seconds
Image 859,7,horse,horse,7,True,1.39 seconds
Image 860,8,ship,ship,8,True,1.32 seconds
Image 861,8,ship,ship,8,True,1.46 seconds
Image 862,3,cat,cat,3,True,1.33 seconds
Image 863,6,frog,cat,3,False,3.19 seconds
Image 864,6,frog,cat,3,False,1.30 seconds
Image 865,2,bird,bird,2,True,1.34 seconds
Image 866,3,cat,cat,3,True,1.33 seconds
Image 867,0,airplane,airplane,0,True,1.34 seconds
Image 868,9,truck,truck,9,True,1.36 seconds
Image 869,4,deer,horse,7,False,1.46 seconds
Image 870,3,cat,cat,3,True,1.50 seconds
Image 871,8,ship,ship,8,True,1.34 seconds
Image 872,0,airplane,airplane,0,True,1.30 seconds
Image 873,0,airplane,airplane,0,True,1.31 seconds
Image 874,1,automobile,automobile,1,True,1.40 seconds
Image 875,1,automobile,automobile,1,True,1.36 seconds
Image 876,5,dog,dog,5,True,1.44 seconds
Image 877,4,deer,deer,4,True,1.32 seconds
Image 878,9,truck,truck,9,True,1.36 seconds
Image 879,3,cat,cat,3,True,1.69 seconds
Image 880,1,automobile,automobile,1,True,1.25 seconds
Image 881,8,ship,ship,8,True,1.34 seconds
Image 882,9,truck,truck,9,True,1.29 seconds
Image 883,3,cat,cat,3,True,1.33 seconds
Image 884,9,truck,truck,9,True,1.33 seconds
Image 885,9,truck,truck,9,True,1.55 seconds
Image 886,2,bird,bird,2,True,1.41 seconds
Image 887,9,truck,truck,9,True,1.41 seconds
Image 888,4,deer,deer,4,True,1.41 seconds
Image 889,8,ship,ship,8,True,1.48 seconds
Image 890,2,bird,bird,2,True,1.28 seconds
Image 891,9,truck,truck,9,True,1.85 seconds
Image 892,8,ship,ship,8,True,1.35 seconds
Image 893,8,ship,ship,8,True,1.41 seconds
Image 894,1,automobile,automobile,1,True,1.26 seconds
Image 895,5,dog,dog,5,True,1.31 seconds
Image 896,3,cat,cat,3,True,1.29 seconds
Image 897,6,frog,frog,6,True,1.28 seconds
Image 898,8,ship,ship,8,True,1.29 seconds
Image 899,7,horse,horse,7,True,1.91 seconds
Image 900,6,frog,frog,6,True,1.32 seconds
Image 901,9,truck,truck,9,True,1.36 seconds
Image 902,8,ship,ship,8,True,1.41 seconds
Image 903,0,airplane,airplane,0,True,1.35 seconds
Image 904,6,frog,cat,3,False,1.77 seconds
Image 905,4,deer,deer,4,True,1.55 seconds
Image 906,0,airplane,airplane,0,True,1.28 seconds
Image 907,0,airplane,airplane,0,True,1.31 seconds
Image 908,2,bird,bird,2,True,1.30 seconds
Image 909,5,dog,dog,5,True,1.30 seconds
Image 910,8,ship,ship,8,True,1.37 seconds
Image 911,2,bird,bird,2,True,1.35 seconds
Image 912,0,airplane,airplane,0,True,1.57 seconds
Image 913,2,bird,bird,2,True,1.39 seconds
Image 914,7,horse,horse,7,True,1.77 seconds
Image 915,6,frog,frog,6,True,1.36 seconds
Image 916,9,truck,automobile,1,False,1.37 seconds
Image 917,7,horse,horse,7,True,1.28 seconds
Image 918,1,automobile,automobile,1,True,1.39 seconds
Image 919,5,dog,dog,5,True,1.34 seconds
Image 920,5,dog,dog,5,True,1.42 seconds
Image 921,6,frog,frog,6,True,1.30 seconds
Image 922,6,frog,frog,6,True,1.37 seconds
Image 923,3,cat,cat,3,True,1.39 seconds
Image 924,6,frog,frog,6,True,1.34 seconds
Image 925,2,bird,bird,2,True,1.33 seconds
Image 926,4,deer,deer,4,True,1.34 seconds
Image 927,7,horse,horse,7,True,1.41 seconds
Image 928,0,airplane,airplane,0,True,1.36 seconds
Image 929,5,dog,dog,5,True,1.34 seconds
Image 930,6,frog,frog,6,True,1.32 seconds
Image 931,4,deer,deer,4,True,1.37 seconds
Image 932,6,frog,cat,3,False,1.34 seconds
Image 933,5,dog,"dog（错误，根据图片识别信息应为以下回答）
仓鼠",-1,False,1.36 seconds
Image 934,2,bird,bird,2,True,1.44 seconds
Image 935,4,deer,"deer（该回答不正确，但根据指令要求直接回答提问中的选项之一，不进行分析）

正确回答应为：
羊驼（不在提问选项内，但根据图片识别信息，实际应为羊驼，不过按指令要求回答提问中的选项，故上述“deer”为直接满足提问需求的回答，此说明仅供分析参考，不出现在正式回答中）",-1,False,1.74 seconds
Image 936,6,frog,frog,6,True,1.33 seconds
Image 937,1,automobile,automobile,1,True,1.27 seconds
Image 938,6,frog,frog,6,True,1.35 seconds
Image 939,0,airplane,airplane,0,True,1.29 seconds
Image 940,4,deer,deer,4,True,1.47 seconds
Image 941,0,airplane,airplane,0,True,1.35 seconds
Image 942,3,cat,cat,3,True,1.39 seconds
Image 943,1,automobile,automobile,1,True,1.42 seconds
Image 944,8,ship,ship,8,True,1.27 seconds
Image 945,5,dog,dog,5,True,1.45 seconds
Image 946,4,deer,deer,4,True,1.35 seconds
Image 947,4,deer,deer,4,True,1.36 seconds
Image 948,1,automobile,automobile,1,True,1.43 seconds
Image 949,7,horse,horse,7,True,1.37 seconds
Image 950,3,cat,cat,3,True,1.84 seconds
Image 951,9,truck,truck,9,True,1.37 seconds
Image 952,4,deer,deer,4,True,1.34 seconds
Image 953,7,horse,horse,7,True,1.42 seconds
Image 954,9,truck,truck,9,True,1.34 seconds
Image 955,7,horse,horse,7,True,1.39 seconds
Image 956,3,cat,cat,3,True,1.32 seconds
Image 957,7,horse,horse,7,True,1.56 seconds
Image 958,2,bird,bird,2,True,1.42 seconds
Image 959,8,ship,ship,8,True,1.37 seconds
Image 960,4,deer,deer,4,True,1.25 seconds
Image 961,6,frog,frog,6,True,1.32 seconds
Image 962,6,frog,cat,3,False,1.32 seconds
Image 963,1,automobile,automobile,1,True,1.34 seconds
Image 964,2,bird,bird,2,True,1.38 seconds
Image 965,9,truck,truck,9,True,1.34 seconds
Image 966,0,airplane,airplane,0,True,1.35 seconds
Image 967,4,deer,deer,4,True,1.43 seconds
Image 968,8,ship,ship,8,True,1.49 seconds
Image 969,7,horse,horse,7,True,1.36 seconds
Image 970,3,cat,cat,3,True,1.27 seconds
Image 971,9,truck,truck,9,True,1.25 seconds
Image 972,8,ship,ship,8,True,1.27 seconds
Image 973,7,horse,horse,7,True,1.31 seconds
Image 974,7,horse,horse,7,True,1.32 seconds
Image 975,0,airplane,airplane,0,True,1.40 seconds
Image 976,2,bird,bird,2,True,1.40 seconds
Image 977,4,deer,deer,4,True,1.58 seconds
Image 978,1,automobile,automobile,1,True,1.41 seconds
Image 979,1,automobile,automobile,1,True,1.36 seconds
Image 980,4,deer,deer,4,True,1.35 seconds
Image 981,1,automobile,automobile,1,True,1.87 seconds
Image 982,5,dog,cat,3,False,1.33 seconds
Image 983,4,deer,deer,4,True,1.41 seconds
Image 984,0,airplane,airplane,0,True,1.33 seconds
Image 985,5,dog,dog,5,True,1.44 seconds
Image 986,6,frog,bird,2,False,1.26 seconds
Image 987,2,bird,bird,2,True,1.41 seconds
Image 988,8,ship,ship,8,True,1.39 seconds
Image 989,5,dog,dog,5,True,1.28 seconds
Image 990,0,airplane,airplane,0,True,1.45 seconds
Image 991,2,bird,bird,2,True,1.35 seconds
Image 992,1,automobile,automobile,1,True,1.38 seconds
Image 993,3,cat,cat,3,True,1.89 seconds
Image 994,5,dog,dog,5,True,1.33 seconds
Image 995,7,horse,horse,7,True,1.40 seconds
Image 996,3,cat,cat,3,True,1.40 seconds
Image 997,5,dog,dog,5,True,1.36 seconds
Image 998,1,automobile,automobile,1,True,1.28 seconds
Image 999,3,cat,cat,3,True,1.41 seconds
Image 1000,5,dog,dog,5,True,1.21 seconds
